"vnid","vintage","PriceHistory"
"1000287","2011","[{201812,45},{201901,43},{201903,44},{201906,43},{201909,45},{201912,44},{202001,44},{202003,44},{202006,46},{202009,47},{202012,51},{202101,51},{202102,50},{202103,51},{202104,51},{202105,52},{202106,50},{202107,54},{202109,52},{202110,53},{202111,56},{202112,56},{202201,58},{202202,57},{202203,57},{202204,58},{202205,58},{202206,58},{202207,61},{202208,61},{202209,63},{202210,62}]"
"1000287","2013","[{201712,15},{201801,15},{201803,15},{201806,15},{201809,17},{201812,17},{201901,17},{201903,20},{201906,20},{201909,20},{202107,45},{202109,46},{202110,49},{202111,48},{202112,49},{202201,51},{202202,49},{202203,50},{202204,52},{202205,53},{202206,50},{202207,53},{202208,54},{202209,53},{202210,54}]"
"1000287","2007","[{201209,31},{201212,45},{201301,39},{201303,38},{201306,41},{201309,39},{201312,39},{201401,39},{201403,40},{201406,36},{201409,38},{201412,39},{201501,44},{201503,46},{201506,45},{201509,47},{201512,44},{201601,40},{201602,39},{201606,40},{201609,37},{201612,36},{201701,37},{201703,38},{201706,38},{201709,38},{201712,39},{201801,40},{201803,41},{201806,42},{201809,42},{201812,45},{201901,43},{201903,43},{201906,44},{201909,47},{201912,43},{202001,43},{202003,45},{202006,45},{202009,45},{202012,49},{202101,52},{202102,51},{202103,50},{202104,53},{202105,52},{202106,49},{202107,50},{202109,48},{202110,47},{202111,46},{202112,47},{202201,48},{202202,49},{202203,52},{202204,53},{202205,55},{202206,54},{202207,59},{202208,59},{202209,51},{202210,47}]"
"1000359","2016","[{201809,28},{201812,28},{201901,28},{201906,28},{201909,28},{201912,29},{202001,35},{202003,36},{202006,38},{202009,33},{202012,28},{202101,28},{202102,28},{202103,29},{202104,29},{202105,29},{202106,29},{202107,29},{202109,29}]"
"1000391","2010","[{201206,54},{201209,38},{201212,36},{201301,37},{201303,36},{201306,43},{201309,45},{201401,50},{201506,31},{201509,32},{201909,55},{201912,51},{202001,55},{202009,131},{202012,83},{202101,83},{202102,84},{202109,97},{202110,97},{202111,158},{202112,157},{202201,169},{202202,168},{202205,184},{202206,181},{202207,174},{202208,178},{202209,177},{202210,170}]"
"1000535","2019","[{202106,45},{202107,55},{202109,55},{202110,48},{202111,47},{202112,47},{202201,47},{202202,49},{202203,51},{202204,50},{202205,57},{202206,56},{202207,57},{202208,58},{202209,59},{202210,59}]"
"1000535","2007","[{200906,45},{200909,44},{200912,54},{201001,54},{201003,43},{201006,44},{201009,45},{201012,49},{201101,44},{201102,41},{201106,39},{201201,36},{201203,33},{201206,35},{201209,31},{201212,33},{201301,30},{201303,24},{201306,24},{201309,27},{201312,36},{201401,36},{201403,45},{201406,45},{201409,45},{201412,41},{201501,41},{201503,41},{201506,41},{201509,41},{201512,37},{201601,37},{201602,37},{201606,37},{201609,37},{201612,37},{201701,37},{201703,37},{201706,37},{201709,48},{202006,50},{202104,46},{202106,66},{202110,75}]"
"1000535","2004","[{200703,32},{200709,37},{200801,36},{200804,32},{200806,34},{200809,33},{200812,27},{200901,30},{200903,28},{200906,32},{200909,28},{200912,38},{201001,38},{201003,38},{201006,45},{201009,40},{201012,49},{201101,37},{201102,35},{201106,29},{201109,29},{201201,27},{201203,29},{201206,34},{201209,37},{201212,33},{201301,33},{201303,33},{201306,35},{201309,35},{201312,37},{201401,37},{201403,35},{201406,35},{201409,35},{201412,33},{201501,33},{201503,33},{201506,33},{201509,33},{201512,33},{201601,33},{201602,33},{201606,33},{201609,33},{201612,33},{201701,33},{201703,33},{201706,31},{201709,30},{201806,36},{201809,35},{201812,35},{201901,35},{201903,35},{201906,35},{201909,35},{202012,39},{202101,39},{202102,39},{202103,40}]"
"1000535","2018","[{202009,58},{202012,53},{202101,49},{202102,50},{202103,50},{202104,49},{202105,59},{202106,58},{202107,55},{202109,60},{202110,61},{202111,58},{202112,62},{202201,62},{202202,60},{202203,61},{202204,61},{202205,50},{202206,49},{202207,49},{202208,50},{202209,49},{202210,40}]"
"1000548","2011","[{201306,28},{201309,28},{201312,35},{201401,41},{201403,41},{201406,43},{201409,42},{201412,43},{201501,43},{201503,43},{201506,44},{201509,51},{201512,47},{201601,46},{201602,46},{201606,45},{201609,45},{201612,45},{201701,45},{201703,45},{201706,45},{201709,45},{201712,46},{201801,46},{201803,43},{201806,44},{201809,46},{201812,46},{201901,46},{201903,46},{201906,46},{201909,46},{202009,93},{202106,66},{202107,83},{202109,54},{202110,40},{202111,40},{202112,40},{202201,41},{202202,38},{202203,38},{202204,38},{202205,34},{202206,34},{202207,33},{202208,34}]"
"1000564","2011","[{201406,80},{201409,106},{201412,112},{201501,117},{201503,125},{201506,127},{201509,108},{201512,111},{201601,104},{201602,112},{201612,63},{201701,62},{201703,62},{201706,74},{201709,67},{201712,61},{201806,47},{201809,46},{201906,103},{201909,90},{201912,114},{202001,120},{202003,124},{202009,65},{202012,87},{202101,79},{202102,78},{202103,78},{202104,81}]"
"1000564","2014","[{201612,68},{201701,67},{201703,67},{201709,88},{201712,88},{201801,88},{201806,78},{201809,76},{201812,77},{201901,76},{201903,81},{201906,76},{201909,76},{201912,77},{202001,64},{202003,78},{202006,77},{202009,77},{202012,100},{202101,100},{202102,101},{202103,102},{202104,105},{202105,103},{202106,103},{202107,105},{202109,82},{202110,82},{202111,93},{202112,94},{202201,84},{202202,83}]"
"1000564","2012","[{201412,112},{201501,117},{201503,125},{201506,87},{201601,98},{201602,99},{201612,59},{201809,46},{201906,103},{201909,90},{202001,98},{202009,93},{202012,93},{202101,93},{202102,94},{202103,76},{202104,78},{202105,96},{202106,97},{202107,98},{202109,97},{202110,97},{202111,99},{202112,98},{202201,99},{202202,99},{202203,101},{202204,99},{202205,100},{202206,98},{202207,97},{202208,99},{202209,99},{202210,95}]"
"1000564","2007","[{201509,90},{201512,92},{201606,64},{201609,63},{201706,52},{201709,50},{201712,52},{201803,48},{201806,47},{201809,51},{202001,80},{202006,52},{202103,73},{202104,74},{202109,77}]"
"1000564","2008","[{201403,73},{201406,73},{201409,71},{201412,73},{201501,71},{201503,71},{201506,71},{201606,66},{201609,59},{201612,59},{201701,58},{201703,58},{201706,57},{201709,54},{201712,57},{201801,56},{201803,56},{201806,57},{201809,54},{201812,51},{201901,50},{201903,52},{201906,51},{201909,50},{201912,53},{202001,53},{202003,52},{202006,53},{202009,56},{202012,55},{202101,56},{202102,42},{202103,43},{202104,44},{202210,49}]"
"1000564","2009","[{201412,79},{201501,79},{201503,79},{201506,79},{201509,99},{201609,69},{201706,57},{201801,54},{201806,57},{201809,55},{202006,71},{202012,69},{202104,78},{202105,77},{202111,70},{202202,99},{202203,91},{202204,89},{202206,98},{202207,97},{202209,108},{202210,104}]"
"1000564","2010","[{201403,73},{201406,73},{201409,76},{201412,96},{201501,100},{201503,107},{201506,127},{201509,103},{201512,128},{201601,96},{201602,94},{201606,59},{201609,53},{201612,53},{201701,52},{201703,52},{201706,64},{201709,53},{201712,57},{201801,58},{201803,53},{201806,53},{201809,53},{201903,90},{201912,89},{202001,90},{202003,95},{202006,65},{202009,65},{202012,41},{202101,42},{202102,58},{202103,58},{202104,60},{202105,59},{202106,59},{202107,75},{202109,76},{202110,75},{202206,108},{202207,106},{202210,113}]"
"1000577","2011","[{201403,83},{201409,106},{201412,124},{201501,129},{201503,138},{201506,141},{201509,108},{201512,119},{201601,124},{201602,132},{201803,80},{201806,81},{201809,79},{201812,80},{201901,79},{201903,82},{201906,103},{202006,80},{202009,75},{202012,88},{202101,87},{202102,77},{202103,65},{202104,66},{202105,65},{202106,68},{202107,68},{202109,68},{202110,68},{202111,72},{202112,71},{202201,72},{202202,72},{202203,74},{202204,72},{202205,80},{202206,71},{202207,71},{202208,82},{202209,84},{202210,83}]"
"1000577","2010","[{201403,75},{201406,58},{201409,61},{201412,76},{201501,71},{201503,75},{201506,75},{201509,96},{201512,92},{201601,65},{201602,72},{201606,71},{201609,71},{201612,73},{201701,73},{201703,65},{201706,82},{201709,75},{201712,38},{202009,56},{202012,55},{202101,62},{202102,63},{202103,64},{202104,66},{202105,64},{202106,64},{202107,72},{202109,72},{202110,73},{202111,73},{202112,75},{202201,75},{202202,74},{202203,77},{202204,77},{202205,81},{202206,87},{202207,81},{202208,82},{202209,85},{202210,87}]"
"1000577","2012","[{201412,112},{201501,117},{201503,125},{201706,79},{201709,79},{201712,79},{201801,79},{201803,79},{201806,79},{201809,79},{201812,79},{202009,63},{202012,62},{202101,63},{202102,63},{202103,65},{202104,66},{202105,65},{202106,66},{202107,66}]"
"1000577","2013","[{201709,88},{201712,88},{201801,88},{201812,79},{201901,79},{201903,79},{201906,79},{201909,76},{201912,76},{202001,74},{202003,74},{202006,82},{202009,78},{202012,86},{202101,85},{202102,89},{202103,82},{202104,85},{202105,83},{202106,82},{202107,85},{202111,86},{202205,60},{202206,59},{202207,58},{202208,106},{202209,106},{202210,106}]"
"1000577","2007","[{201403,71},{201406,64},{201412,80},{201501,64},{201503,60},{201506,75},{201509,75},{201512,70},{201601,77},{201602,65},{201606,71},{201609,54},{201612,56},{201701,55},{201709,83},{202012,52},{202101,72},{202102,52},{202103,54},{202104,55},{202105,54},{202106,54}]"
"1000577","2008","[{201403,68},{201406,71},{201409,71},{201412,71},{201501,71},{201503,71},{201506,71},{201509,71},{201709,83},{201712,61},{201909,56},{201912,59},{202001,59},{202003,60},{202009,53},{202101,81},{202102,81},{202201,55},{202202,60},{202203,62},{202204,61},{202205,55},{202206,54},{202207,53},{202208,54},{202209,54},{202210,52}]"
"1000577","2009","[{201403,66},{201412,96},{201501,75},{201506,136},{201509,94},{201512,110},{201601,92},{201602,135},{201609,133},{201706,102},{201709,85},{201806,81},{201809,85},{201812,87},{201901,87},{202009,90},{202012,88},{202101,89},{202102,90},{202205,123},{202209,106},{202210,92}]"
"1000580","2013","[{201612,46},{201701,46},{201806,66},{201809,65},{201812,72},{201901,72},{201903,74},{201906,67},{201909,72},{201912,74},{202001,75},{202003,80},{202006,74},{202009,71},{202012,76},{202101,76},{202102,74},{202103,74},{202104,74},{202105,74},{202106,74},{202107,74},{202109,74},{202110,74},{202111,74},{202112,74}]"
"1000580","2009","[{201403,57},{201406,57},{201409,57},{201412,63},{201501,58},{201503,65},{201506,102},{201509,103},{201512,92},{201601,85},{201602,85},{201606,58},{201609,59},{201612,60},{201701,60},{201703,56},{201706,56},{201709,54},{201712,57},{201801,62},{201803,59},{201806,60},{201809,55},{201906,103},{202006,40},{202009,48},{202012,75},{202101,75},{202102,75},{202103,76},{202104,78},{202105,79},{202106,58},{202107,59},{202109,58},{202110,58},{202111,59},{202208,147},{202209,150},{202210,153}]"
"1000580","2011","[{201403,87},{201409,106},{201412,112},{201501,117},{201503,125},{201506,127},{201509,109},{201512,111},{201601,104},{201602,105},{201706,58},{201709,65},{201712,69},{201801,79},{201803,65},{201806,52},{201809,51},{202009,55},{202208,118},{202209,120},{202210,123}]"
"1000580","2007","[{201403,72},{201406,61},{201412,89},{201501,60},{201503,60},{201506,75},{201509,75},{201512,62},{201601,65},{201602,65},{201612,49},{201701,49},{201703,49},{201706,64},{201709,64},{201712,82},{201801,81},{201803,52},{201806,53},{201809,84},{201812,86},{201901,86},{201903,87},{201906,80},{201909,82},{201912,82},{202001,81},{202006,71},{202009,71},{202012,70},{202101,70},{202102,71},{202103,73},{202104,74},{202105,73},{202106,74},{202107,74},{202109,74},{202110,74},{202111,75},{202112,74},{202201,75},{202202,75},{202208,113},{202209,115},{202210,118}]"
"1000593","2010","[{202111,18},{202112,18},{202201,18},{202202,18},{202203,19}]"
